dataset,trait_slug,prior_name,single_name,best_baseline_name,no_prior_tabicl,prior_only,single_value,single_vs_own_prior_abs,single_vs_own_prior_pct,single_vs_best_baseline_pct,single_vs_no_prior_pct
soybean951,lw_beijing_2013_lw_beijing_2013,RKHS,single_rkhs_two_step_ls,BayesB,0.501739,0.531812,0.540122,0.008311,1.562711,-1.269162,7.650014
soybean951,md_beijing_2013_md_beijing_2013,RKHS,single_rkhs_two_step_ls,RKHS,0.615206,0.672923,0.669335,-0.003588,-0.533232,-0.533232,8.798501
soybean951,plh_beijing_2013_plh_beijing_2013,RKHS,single_rkhs_two_step_ls,BayesB,0.703289,0.74336,0.74237,-0.00099,-0.13313,-2.536273,5.556848
soybean951,prt_beijing_2013_prt_beijing_2013,RKHS,single_rkhs_two_step_ls,RKHS,0.202501,0.302408,0.303006,0.000598,0.197861,0.197861,49.631671
soybean951,sl_beijing_2013_sl_beijing_2013,RKHS,single_rkhs_two_step_ls,RKHS,0.504755,0.555462,0.556605,0.001143,0.205731,0.205731,10.272381
soybean951,st_beijing_2013_st_beijing_2013,RKHS,single_rkhs_two_step_ls,GBLUP,0.684494,0.727448,0.730572,0.003124,0.429392,-0.227756,6.731759
soybean951,vbn_beijing_2013_vbn_beijing_2013,RKHS,single_rkhs_two_step_ls,RKHS,0.75171,0.771313,0.770076,-0.001236,-0.160285,-0.160285,2.443303
wheat406,ph_e1,RKHS,single_rkhs_two_step_ls,BayesB,0.803503,0.813501,0.819569,0.006068,0.745927,0.735874,1.999513
wheat406,ph_e2,RKHS,single_rkhs_two_step_ls,BayesB,0.76598,0.778819,0.7835,0.004681,0.601075,0.431163,2.287273
wheat406,ph_e3,RKHS,single_rkhs_two_step_ls,BayesB,0.832865,0.839065,0.848614,0.009549,1.138102,0.01419,1.89098
wheat406,pl_e1,RKHS,single_rkhs_two_step_ls,BayesB,0.858148,0.842948,0.863326,0.020378,2.417506,2.373567,0.603403
wheat406,pl_e2,RKHS,single_rkhs_two_step_ls,RKHS,0.718509,0.723999,0.735496,0.011497,1.588039,1.588039,2.364248
wheat406,pl_e3,RKHS,single_rkhs_two_step_ls,BayesB,0.799242,0.808239,0.816094,0.007856,0.97197,0.482164,2.108504
wheat406,sl_e1,RKHS,single_rkhs_two_step_ls,RKHS,0.450977,0.459604,0.476635,0.017031,3.70556,3.70556,5.689457
wheat406,sl_e2,RKHS,single_rkhs_two_step_ls,RKHS,0.370058,0.436716,0.438148,0.001431,0.32776,0.32776,18.399854
wheat406,sl_e3,RKHS,single_rkhs_two_step_ls,BayesB,0.617136,0.643191,0.651008,0.007817,1.215358,0.058669,5.488512
