dataset,trait_slug,best_baseline_name,best_baseline,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,only_triple,triple_vs_BayesB_pct,triple_vs_GBLUP_pct,triple_vs_RKHS_pct,triple_vs_best_baseline_pct,triple_vs_no_prior_tabicl_pct,triple_vs_single_bayesb_two_step_ls_pct,triple_vs_single_gblup_two_step_ls_pct,triple_vs_single_rkhs_two_step_ls_pct,triple_vs_only_triple_pct
rice529,num_panicles,RKHS,0.6633105117243119,0.6311361703688034,0.6525063529450816,0.6533497695210596,0.6633105117243119,0.6569096556501982,0.6564066680929512,0.6633323596754678,0.6628671173288899,0.6631877448778413,1.5878411508248262,1.4567002625266154,-0.06684567598202701,-0.06684567598202701,5.027591263157135,0.9068920859132624,0.9842144435717178,-0.07013714012165365,-0.04834642247655013
rice529,plant_height,GBLUP,0.8426889477000238,0.8463736048670054,0.8426682282790605,0.8426889477000238,0.8385680569970047,0.8527214900253022,0.8535529266449293,0.8493658562397567,0.8534609758700485,0.8431912298918233,1.2807825462969598,1.278292328317012,1.7759940590125638,1.278292328317012,0.8373809110170445,0.08672067649244139,-0.010772709226387399,0.4821384801622983,1.2179616692102961
rice529,spikelet_length,RKHS,0.6318017939059084,0.6021001362645443,0.6191461787290973,0.6237070469262551,0.6318017939059084,0.6276888773366973,0.6315137520987355,0.6347561292699238,0.6319937252484692,0.6269174445583149,2.07504252804139,1.328617074803368,0.03037841050976426,0.03037841050976426,4.964886599990835,0.6858251065460136,0.0760035942429722,-0.43519138990147055,0.809720758963842
rice529,yield,RKHS,0.5326906988924256,0.4773761800574265,0.5150163646822922,0.5147652138950077,0.5326906988924256,0.5167358447998668,0.515953449825975,0.5315888231674157,0.5315888231674157,0.5326906988924256,3.2178508532145247,3.2682102089049416,-0.2068509413250293,-0.2068509413250293,11.356377920546365,2.8743851461091405,3.030384494321017,0.0,-0.2068509413250293
soybean951,bbd_beijing_2013_bbd_beijing_2013,BayesB,0.8209726382027954,0.7906833674729926,0.8209726382027954,0.8110292283597659,0.8112954639228436,0.8216812608220667,0.812765700151264,0.8086520766608869,0.8215402674605814,0.8211865437947597,0.06914106894336694,1.2960123671588457,1.2627709624063832,0.06914106894336694,3.9025609057904913,-0.017159130700420296,1.0795937018115214,1.5937868919984535,0.04307470312251666
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,RKHS,0.6058627412984846,0.5406302807883601,0.601143561174883,0.5956350069541758,0.6058627412984846,0.5992678207931227,0.594591547501286,0.6013769477828748,0.6018948351949448,0.6065562433248142,0.12497414404531085,1.0509503584718909,-0.6549183227600026,-0.6549183227600026,11.332061222550703,0.43837067679444175,1.2282864975713517,0.0861169378007188,-0.7685038578315584
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,BayesB,0.7986820730391638,0.7692943661886587,0.7986820730391638,0.798129877398737,0.7982306158341641,0.8009584199514194,0.8006839346383149,0.7992557270776462,0.8009584199514194,0.7986820730391638,0.28501289675797087,0.3543962746891732,0.34173133216704066,0.28501289675797087,4.115986695656568,0.0,0.03428135637921452,0.213034804267058,0.28501289675797087
soybean951,fac_beijing_2013_fac_beijing_2013,RKHS,0.6475880541147304,0.6023645096710668,0.6362062997711785,0.6389046301316409,0.6475880541147304,0.6425901034773094,0.6445366668206871,0.6498799118848132,0.6498799118848132,0.6475880541147304,2.149241860470832,1.7178278628080912,0.35390673986656723,0.35390673986656723,7.888147699752951,1.1344414375596168,0.8290056003303539,0.0,0.35390673986656723
soybean951,hsw_beijing_2013_hsw_beijing_2013,GBLUP,0.7710934466422215,0.7405487566995206,0.7703982629287989,0.7710934466422215,0.7697985682741477,0.7782887634473136,0.7799149222112899,0.7750792554746662,0.7803307055119622,0.7745383324967495,1.2892607708386343,1.1979428576348252,1.3681679431317972,1.1979428576348252,5.371955384780045,0.2623630406282761,0.05331136625689875,0.6775371679996713,0.747848463037423
soybean951,ll_beijing_2013_ll_beijing_2013,BayesB,0.4031851006768385,0.3507771072580342,0.4031851006768385,0.4015623043670137,0.3989905430610325,0.4115945261087951,0.4107518571710136,0.4067276579554472,0.4088193876442725,0.4017776777803451,1.3974442403688951,1.8072122802209312,2.4634279569219073,1.3974442403688951,16.5467697820833,-0.6742408580499577,-0.4704712816274663,0.514282628169448,1.7526384001296202
