dataset,trait_slug,no_prior_tabicl,BayesB,GBLUP,RKHS,best_baseline_name,best_baseline,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,single_bayesb_two_step_ls_vs_best_baseline_pct,single_gblup_two_step_ls_vs_best_baseline_pct,single_rkhs_two_step_ls_vs_best_baseline_pct,triple_two_step_ls_vs_best_baseline_pct,single_bayesb_two_step_ls_vs_own_prior_pct,single_gblup_two_step_ls_vs_own_prior_pct,single_rkhs_two_step_ls_vs_own_prior_pct,triple_two_step_ls_vs_no_prior_pct
rice529,yield,0.4773761800574265,0.5150163646822922,0.5147652138950077,0.5326906988924256,RKHS,0.5326906988924256,0.5167358447998668,0.515953449825975,0.5315888231674157,0.5315888231674157,-2.9951441100308784,-3.1420201443822404,-0.2068509413250319,-0.2068509413250319,0.3338690254309329,0.2308306581123576,-0.2068509413250319,11.356377920546358
soybean951,bbd_beijing_2013_bbd_beijing_2013,0.7906833674729926,0.8209726382027954,0.8110292283597659,0.8112954639228436,BayesB,0.8209726382027954,0.8216812608220667,0.812765700151264,0.8086520766608869,0.8215402674605814,0.08631501054925383,-0.9996603625545109,-1.500727426054016,0.06914106894335692,0.08631501054925383,0.21410717774130728,-0.32582300524338637,3.9025609057904864
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,0.5406302807883601,0.601143561174883,0.5956350069541758,0.6058627412984846,RKHS,0.6058627412984846,0.5992678207931227,0.594591547501286,0.6013769477828748,0.6018948351949448,-1.0885172590787917,-1.8603543391762734,-0.7403976527746048,-0.6549183227600008,-0.3120286904669367,-0.1751843730988356,-0.7403976527746048,11.332061222550704
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,0.7692943661886587,0.7986820730391638,0.798129877398737,0.7982306158341641,BayesB,0.7986820730391638,0.8009584199514194,0.8006839346383149,0.7992557270776462,0.8009584199514194,0.2850128967579746,0.25064561566199295,0.07182508007217425,0.2850128967579746,0.2850128967579746,0.3200052161813627,0.12842294233614826,4.115986695656559
soybean951,fac_beijing_2013_fac_beijing_2013,0.6023645096710668,0.6362062997711785,0.6389046301316409,0.6475880541147304,RKHS,0.6475880541147304,0.6425901034773094,0.6445366668206871,0.6498799118848132,0.6498799118848132,-0.7717793133558248,-0.4711926470315486,0.35390673986657184,0.35390673986657184,1.0034172419271847,0.8815144582511092,0.35390673986657184,7.888147699752945
soybean951,hsw_beijing_2013_hsw_beijing_2013,0.7405487566995206,0.7703982629287989,0.7710934466422215,0.7697985682741477,GBLUP,0.7710934466422215,0.7782887634473136,0.7799149222112899,0.7750792554746662,0.7803307055119622,0.933131624503436,1.1440215978338442,0.5169034764594516,1.197942857634815,1.0242105801897328,1.1440215978338442,0.685982985439626,5.371955384780036
soybean951,ll_beijing_2013_ll_beijing_2013,0.3507771072580342,0.4031851006768385,0.4015623043670137,0.3989905430610325,BayesB,0.4031851006768385,0.4115945261087951,0.4107518571710136,0.4067276579554472,0.4088193876442725,2.0857480640627424,1.87674506857336,0.8786429043785793,1.3974442403688947,2.0857480640627424,2.2884500621853654,1.9391725014472838,16.54676978208329
soybean951,lw_beijing_2013_lw_beijing_2013,0.5017393084607698,0.5470655817574893,0.5259177969093123,0.5318117511192463,BayesB,0.5470655817574893,0.5561485812076794,0.5399268860500864,0.5401224344143445,0.5561485812076794,1.6603127217417413,-1.3049067507535872,-1.2691617924197374,1.6603127217417413,1.6603127217417413,2.663741220225302,1.562711481573631,10.84413196841718
soybean951,md_beijing_2013_md_beijing_2013,0.6152061500093498,0.668269458134134,0.6597992370888317,0.6729233112263855,RKHS,0.6729233112263855,0.6713355455414851,0.6638589656374012,0.6693350662896217,0.6719087934082759,-0.23595046544110376,-1.3470101923597766,-0.5332323723819754,-0.15076276912753261,0.4588100458626343,0.6152975511887204,-0.5332323723819754,9.216852497014937
soybean951,plh_beijing_2013_plh_beijing_2013,0.7032892022494912,0.7616884118454353,0.7424525521258256,0.743359546978439,BayesB,0.7616884118454353,0.7637000875950755,0.7437787917562455,0.7423699135728324,0.7637812975526741,0.26410743794385017,-2.351305312076102,-2.5362730970000746,0.27476927240734916,0.26410743794385017,0.17862954698215638,-0.1331298440477635,8.601311538652535
soybean951,prt_beijing_2013_prt_beijing_2013,0.2025014763817338,0.2857182011948287,0.2816869377995264,0.302407996825868,RKHS,0.302407996825868,0.2900999610904392,0.2882538564192083,0.3030063437697676,0.300137747842423,-4.070010007875558,-4.680478213282802,0.19786082054045195,-0.7507238589170906,1.5335949467995436,2.3312826185627022,0.19786082054045195,48.215091171303804
soybean951,sl_beijing_2013_sl_beijing_2013,0.5047546495643478,0.5435888944954006,0.5404541281904967,0.5554622127077014,RKHS,0.5554622127077014,0.5546874517273773,0.5521150669928786,0.5566049693457052,0.5578232908069687,-0.13948041155622537,-0.6025874736836689,0.20573076113195032,0.4250654761478456,2.041718906395107,2.157618601494282,0.20573076113195032,10.513749856177501
soybean951,st_beijing_2013_st_beijing_2013,0.6844935257463683,0.7320967785472245,0.7322396944452573,0.7274483701475686,GBLUP,0.7322396944452573,0.7364736355992542,0.7367277884844305,0.7305719771502135,0.7364077663065381,0.5782179231903717,0.6129268971922341,-0.2277556526496749,0.5692223315534095,0.5978522485394766,0.6129268971922341,0.4293922607883971,7.584328939205487
soybean951,vbn_beijing_2013_vbn_beijing_2013,0.751709727042776,0.7650799067546393,0.7662838423026682,0.7713125691711441,RKHS,0.7713125691711441,0.7675915159390462,0.7681677212563,0.7700762730072108,0.7700892056877212,-0.48243129709354404,-0.40772678166305365,-0.16028471638440678,-0.15860800566721567,0.3282806360790147,0.24584610161826337,-0.16028471638440678,2.445023389181089
wheat406,ph_e1,0.8035032262949047,0.8135824369230313,0.8063482624647111,0.8135012520875049,BayesB,0.8135824369230313,0.8236600927392965,0.821145449809754,0.8195693815638444,0.8224771687802332,1.238676667404337,0.9295939223228578,0.7358743710662807,1.093279728461427,1.238676667404337,1.8350864054463623,0.7459274906791213,2.361402153021941
