dataset,trait_slug,prior_name,single_name,best_baseline_name,no_prior_tabicl,prior_only,single_value,single_vs_own_prior_abs,single_vs_own_prior_pct,single_vs_best_baseline_pct,single_vs_no_prior_pct
soybean951,sl_beijing_2013_sl_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.5047546495643478,0.5435888944954006,0.5546874517273773,0.011098557231976725,2.041718906395103,-0.1394804115562275,9.892489788083454
soybean951,st_beijing_2013_st_beijing_2013,BayesB,single_bayesb_two_step_ls,GBLUP,0.6844935257463683,0.7320967785472245,0.7364736355992542,0.004376857052029615,0.5978522485394712,0.5782179231903716,7.593952009437483
soybean951,vbn_beijing_2013_vbn_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.751709727042776,0.7650799067546393,0.7675915159390462,0.002511609184406849,0.3282806360790129,-0.4824312970935488,2.112755539129317
wheat406,ph_e1,BayesB,single_bayesb_two_step_ls,BayesB,0.8035032262949047,0.8135824369230313,0.8236600927392965,0.010077655816265185,1.2386766674043357,1.2386766674043357,2.5086229631383965
wheat406,ph_e2,BayesB,single_bayesb_two_step_ls,BayesB,0.7659802533795514,0.7801366585180576,0.7888158232594249,0.008679164741367318,1.1125185115456824,1.1125185115456824,2.9812217454851515
wheat406,ph_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.8328648432455864,0.8484937473839054,0.8555697001554938,0.007075952771588456,0.8339428302689548,0.8339428302689548,2.7261154188510335
wheat406,pl_e1,BayesB,single_bayesb_two_step_ls,BayesB,0.8581483463716699,0.8433099151777892,0.8646268456438577,0.02131693046606853,2.527769457278873,2.527769457278873,0.7549393178439939
wheat406,pl_e2,BayesB,single_bayesb_two_step_ls,RKHS,0.7185089865880742,0.7213785182898848,0.7372674143555863,0.01588889606570154,2.202574052713421,1.8326658954311772,2.6107436535468773
wheat406,pl_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.7992423215328194,0.8121783474113368,0.8203163981766313,0.008138050765294502,1.002002921061979,1.002002921061979,2.636756847834981
wheat406,sl_e1,BayesB,single_bayesb_two_step_ls,RKHS,0.4509765888184286,0.4539404593060275,0.4765675959949215,0.02262713668889399,4.984604527978355,3.690957696162896,5.674575534739406
wheat406,sl_e2,BayesB,single_bayesb_two_step_ls,RKHS,0.3700577667693672,0.4158682835930846,0.424051779462497,0.008183495869412416,1.967809566699185,-2.8999804992304457,14.590698410278403
wheat406,sl_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.6171362358585945,0.6506261195035332,0.6604791504324482,0.009853030928914985,1.5143921575779096,1.5143921575779096,7.023232805889718
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,GBLUP,single_gblup_two_step_ls,BayesB,0.6324071861231926,0.646071941795476,0.6577354336606226,0.011663491865146591,1.805293050296069,-0.27216815342088646,4.005053720641323
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,GBLUP,single_gblup_two_step_ls,BayesB,0.7406978873915858,0.7419842403264798,0.7588091647125923,0.016824924386112494,2.267558186776228,0.3855035845077909,2.4451638960098134
