dataset,trait_slug,no_prior_tabicl,no_prior_tabicl_r2,BayesB,BayesB_r2,GBLUP,GBLUP_r2,RKHS,RKHS_r2,only_single_bayesb,only_single_bayesb_r2,single_bayesb_two_step_clip,single_bayesb_two_step_clip_r2,single_bayesb_two_step_ls,single_bayesb_two_step_ls_r2,single_bayesb_all_ls,single_bayesb_all_ls_r2,only_single_gblup,only_single_gblup_r2,single_gblup_two_step_clip,single_gblup_two_step_clip_r2,single_gblup_two_step_ls,single_gblup_two_step_ls_r2,single_gblup_all_ls,single_gblup_all_ls_r2,only_single_rkhs,only_single_rkhs_r2,single_rkhs_two_step_clip,single_rkhs_two_step_clip_r2,single_rkhs_two_step_ls,single_rkhs_two_step_ls_r2,single_rkhs_all_ls,single_rkhs_all_ls_r2,only_dual,only_dual_r2,dual_two_step_clip,dual_two_step_clip_r2,dual_two_step_ls,dual_two_step_ls_r2,dual_all_ls,dual_all_ls_r2,only_triple,only_triple_r2,triple_two_step_clip,triple_two_step_clip_r2,triple_two_step_ls,triple_two_step_ls_r2,triple_all_ls,triple_all_ls_r2
rice529,grain_thickness,0.6861027709294649,0.45868524312973025,0.7108970917208475,0.4890129566192627,0.7063673548582606,0.48468116521835325,0.6963536593316783,0.47007801532745364,0.7108970917208475,0.4890129566192627,0.7108158859356444,0.4925926923751831,0.7131952867888545,0.494919216632843,0.7131952867888545,0.494919216632843,0.7063673548582606,0.48468116521835325,0.7081591485168285,0.48994736671447753,0.7097222675143,0.4916233539581299,0.7097222675143,0.4916233539581299,0.6963536593316783,0.47007801532745364,0.7018924957483785,0.4812046766281128,0.7015781487862787,0.4809155225753784,0.7015781487862787,0.4809155225753784,0.7108970917208475,0.4890129566192627,0.7108158859356444,0.4925926923751831,0.7131952867888545,0.494919216632843,0.7131952867888545,0.494919216632843,0.7108970917208475,0.4890129566192627,0.7108158859356444,0.4925926923751831,0.7131952867888545,0.494919216632843,0.7131952867888545,0.494919216632843
rice529,grain_weight,0.5741059483379454,0.3131588101387024,0.5618842313208047,0.29604330062866213,0.5553552985858479,0.2914092421531677,0.5563503061347376,0.2937827229499817,0.5618842313208047,0.29604330062866213,0.5838607134571541,0.3259814023971558,0.582189903613124,0.3248218774795532,0.582189903613124,0.3248218774795532,0.5553552985858479,0.2914092421531677,0.5809371018624138,0.3239867568016052,0.5804446063867748,0.3233420610427856,0.5804446063867748,0.3233420610427856,0.5563503061347376,0.2937827229499817,0.580628805290095,0.32504459619522097,0.5783832890767779,0.32170246839523314,0.5783832890767779,0.32170246839523314,0.5618842313208047,0.29604330062866213,0.5838607134571541,0.3259814023971558,0.582189903613124,0.3248218774795532,0.582189903613124,0.3248218774795532,0.5625864677071682,0.29729264974594116,0.5839316624671096,0.3262820839881897,0.5821290944566104,0.32485662698745726,0.582189903613124,0.3248218774795532
rice529,grain_width,0.8165831120803615,0.6601744771003724,0.8361757046060854,0.690347182750702,0.8275337207776243,0.6777631044387817,0.8231585449543589,0.6671674966812133,0.8361757046060854,0.690347182750702,0.8352265347864296,0.6902569651603698,0.8367177662832492,0.6924475073814392,0.8367177662832492,0.6924475073814392,0.8275337207776243,0.6777631044387817,0.8293605843153097,0.6814086556434631,0.8296927935371604,0.6819301605224609,0.8296927935371604,0.6819301605224609,0.8231585449543589,0.6671674966812133,0.8258729905793623,0.6749075889587403,0.8249036473132249,0.6736827373504639,0.8249036473132249,0.6736827373504639,0.8361582549448977,0.6905079841613769,0.8346785159431078,0.6894685983657837,0.8363920128901539,0.6920127153396607,0.8367177662832492,0.6924475073814392,0.8361582549448977,0.6905079841613769,0.8346785159431078,0.6894685983657837,0.8363920128901539,0.6920127153396607,0.8367177662832492,0.6924475073814392
rice529,heading_date,0.7381564216247558,0.5340596318244935,0.7334621102524661,0.5279909133911133,0.7230055622919063,0.5126564741134644,0.7464108640319594,0.5402230978012085,0.7334621102524661,0.5279909133911133,0.7521468615964848,0.5559023857116699,0.7521245623049351,0.5557726502418519,0.7521245623049351,0.5557726502418519,0.7230055622919063,0.5126564741134644,0.7482788793624235,0.5521149635314941,0.7473570896938824,0.5508233308792114,0.7473570896938824,0.5508233308792114,0.7464108640319594,0.5402230978012085,0.7541283501201614,0.5573197484016419,0.7525127060916954,0.5559576153755188,0.7525127060916954,0.5559576153755188,0.7268261888257791,0.5193711996078492,0.7496807430864487,0.5538698554039001,0.7487856135180995,0.552634084224701,0.7473570896938824,0.5508233308792114,0.7304922487385798,0.5253908514976502,0.7503911365798881,0.5549542546272278,0.7498213305035735,0.5541736364364624,0.7473570896938824,0.5508233308792114
rice529,num_effective_panicles,0.6399021564460021,0.40167367458343506,0.6515389420361078,0.419722318649292,0.6534216840396352,0.4213987350463867,0.6631866929606557,0.42929098606109617,0.6515389420361078,0.419722318649292,0.6592890733849384,0.4295500636100769,0.6599795576217321,0.4304788947105408,0.6599795576217321,0.4304788947105408,0.6534216840396352,0.4213987350463867,0.660744254608687,0.43143428564071656,0.6598200113663428,0.43017730712890623,0.6598200113663428,0.43017730712890623,0.6631866929606557,0.42929098606109617,0.6638728256932269,0.43386480808258054,0.6648094594989568,0.4348484516143799,0.6648094594989568,0.4348484516143799,0.6515389420361078,0.419722318649292,0.6592890733849384,0.4295500636100769,0.6599795576217321,0.4304788947105408,0.6599795576217321,0.4304788947105408,0.6615666373748874,0.43062171936035154,0.6623996645845487,0.432969868183136,0.6642498067587903,0.4351591825485229,0.6641741822030964,0.435092556476593
rice529,num_panicles,0.6311361703688034,0.38641656637191774,0.6525063529450816,0.4208311796188354,0.6533497695210596,0.4209147930145264,0.6633105117243119,0.4289768099784851,0.6525063529450816,0.4208311796188354,0.6563914069540531,0.42551250457763673,0.6569096556501982,0.42624791860580447,0.6569096556501982,0.42624791860580447,0.6533497695210596,0.4209147930145264,0.6573016557898996,0.4262185454368591,0.6564066680929512,0.42494086027145384,0.6564066680929512,0.42494086027145384,0.6633105117243119,0.4289768099784851,0.6621468080944106,0.43113919496536257,0.6633323596754678,0.4324443578720093,0.6633323596754678,0.4324443578720093,0.6525063529450816,0.4208311796188354,0.6563914069540531,0.42551250457763673,0.6569096556501982,0.42624791860580447,0.6569096556501982,0.42624791860580447,0.6631877448778413,0.4317635178565979,0.6605073210326143,0.4300601124763489,0.6628671173288899,0.43294028043746946,0.6628256270200812,0.43290731906890867
rice529,plant_height,0.8463736048670054,0.7080652832984924,0.8426682282790605,0.6961979746818543,0.8426889477000238,0.7001277327537536,0.8385680569970047,0.6801071166992188,0.8426682282790605,0.6961979746818543,0.8531634847229231,0.7163094043731689,0.8527214900253022,0.7165532350540161,0.8527214900253022,0.7165532350540161,0.8426889477000238,0.7001277327537536,0.853764220472945,0.7190526723861694,0.8535529266449293,0.7190246343612671,0.8535529266449293,0.7190246343612671,0.8385680569970047,0.6801071166992188,0.8508906445367274,0.7103589296340942,0.8493658562397567,0.7117753744125366,0.8493658562397567,0.7117753744125366,0.8431912298918233,0.7000631809234619,0.8537373444910206,0.7185844421386719,0.8534609758700485,0.7185380816459656,0.8535529266449293,0.7190246343612671,0.8431912298918233,0.7000631809234619,0.8537373444910206,0.7185844421386719,0.8534609758700485,0.7185380816459656,0.8535529266449293,0.7190246343612671
rice529,spikelet_length,0.6021001362645443,0.3397379875183105,0.6191461787290973,0.36681739091873167,0.6237070469262551,0.3721765875816345,0.6318017939059084,0.3795909404754639,0.6191461787290973,0.36681739091873167,0.627748811685429,0.37751872539520265,0.6276888773366973,0.3774465680122375,0.6276888773366973,0.3774465680122375,0.6237070469262551,0.3721765875816345,0.6305466689508816,0.380993115901947,0.6315137520987355,0.38224748373031614,0.6315137520987355,0.38224748373031614,0.6318017939059084,0.3795909404754639,0.6310978015500927,0.3814258337020874,0.6347561292699238,0.38483893871307373,0.6347561292699238,0.38483893871307373,0.6191461787290973,0.36681739091873167,0.627748811685429,0.37751872539520265,0.6276888773366973,0.3774465680122375,0.6276888773366973,0.3774465680122375,0.6269174445583149,0.37605392932891846,0.6299783342799642,0.3803676128387451,0.6319937252484692,0.38252078294754027,0.6309658570824863,0.3813701868057251
rice529,yield,0.4773761800574265,0.19336916208267213,0.5150163646822922,0.24846535921096802,0.5147652138950077,0.2475177526473999,0.5326906988924256,0.268489933013916,0.5150163646822922,0.24846535921096802,0.5111313954498005,0.24447240829467773,0.5167358447998668,0.2510966420173645,0.5167358447998668,0.2510966420173645,0.5147652138950077,0.2475177526473999,0.5101374937710759,0.2425912380218506,0.515953449825975,0.24954991340637206,0.515953449825975,0.24954991340637206,0.5326906988924256,0.268489933013916,0.5177842344281371,0.25389751195907595,0.5315888231674157,0.2681047797203064,0.5315888231674157,0.2681047797203064,0.5150163646822922,0.24846535921096802,0.5111313954498005,0.24447240829467773,0.5167358447998668,0.2510966420173645,0.5167358447998668,0.2510966420173645,0.5326906988924256,0.268489933013916,0.5177842344281371,0.25389751195907595,0.5315888231674157,0.2681047797203064,0.5315888231674157,0.2681047797203064
soybean951,bbd_beijing_2013_bbd_beijing_2013,0.7906833674729926,0.6201478838920593,0.8209726382027954,0.6693305492401123,0.8110292283597659,0.6541145443916321,0.8112954639228436,0.6512457489967346,0.8209726382027954,0.6693305492401123,0.8185463029869731,0.6646045446395874,0.8216812608220667,0.6697009921073913,0.8216812608220667,0.6697009921073913,0.8110292283597659,0.6541145443916321,0.8127001785521312,0.6557548403739929,0.812765700151264,0.6558624386787415,0.812765700151264,0.6558624386787415,0.8112954639228436,0.6512457489967346,0.808724903458585,0.6482725620269776,0.8086520766608869,0.6481669902801513,0.8086520766608869,0.6481669902801513,0.8209726382027954,0.6693305492401123,0.8185463029869731,0.6646045446395874,0.8216812608220667,0.6697009921073913,0.8216812608220667,0.6697009921073913,0.8211865437947597,0.6695990085601806,0.8181772642505397,0.6639704227447509,0.8215402674605814,0.6694082021713257,0.8216812608220667,0.6697009921073913
